"排名","申請人中文名稱","申請人英文名稱","發明","新型","設計","總計"
"59 ","優你 嬌美股份有限公司","UNI-CHARM CORPORATION ","89 ","0 ","1 ","90 "
"60 ","業成光電（深圳）有限公司","INTERFACE OPTOELECTRONICS (SHENZHEN) CO., LTD.","89 ","0 ","0 ","89 "
"61 ","三菱瓦斯化學股份有限公司","MITSUBISHI GAS CHEMICAL COMPANY, INC.","85 ","0 ","0 ","85 "
"62 ","巴斯夫歐洲公司 ","BASF SE ","83 ","0 ","0 ","83 "
"63 ","哈利溫士頓公司 ","HARRY WINSTON S. A. ","0 ","0 ","80 ","80 "
"64 ","杰富意鋼鐵股份有限公司","JFE STEEL CORPORATION ","79 ","0 ","0 ","79 "
"64 ","新日鐵住金股份有限公司","NIPPON STEEL & SUMITOMO METAL CORPORATION","79 ","0 ","0 ","79 "
"64 ","諾華公司 ","NOVARTIS AG ","79 ","0 ","0 ","79 "
"64 ","夏普股份有限公司 ","SHARP KABUSHIKI KAISHA ","61 ","0 ","18 ","79 "
"68 ","花王股份有限公司 ","KAO CORPORATION ","68 ","3 ","7 ","78 "
"69 ","陶氏全球科技有限責任公司","DOW GLOBAL TECHNOLOGIES LLC ","77 ","0 ","0 ","77 "
"69 ","日本化藥股份有限公司 ","NIPPON KAYAKU KABUSHIKI KAISHA ","77 ","0 ","0 ","77 "
"69 ","微軟公司 ","MICROSOFT CORPORATION ","30 ","0 ","47 ","77 "
"72 ","ＪＳＲ股份有限公司 ","JSR CORPORATION ","76 ","0 ","0 ","76 "
"73 ","上海兆芯集成電路有限公司","VIA ALLIANCE SEMICONDUCTOR CO., LTD.","68 ","4 ","0 ","72 "
"74 ","日本航空電子工業股份有限公司","JAPAN AVIATION ELECTRONICS INDUSTRY, LIMITED","44 ","0 ","26 ","70 "
"75 ","豪威科技股份有限公司 ","OMNIVISION TECHNOLOGIES, INC. ","69 ","0 ","0 ","69 "
"76 ","日立國際電氣股份有限公司","HITACHI KOKUSAI ELECTRIC INC. ","49 ","0 ","19 ","68 "
"77 ","凱為公司 ","CAVIUM, INC. ","67 ","0 ","0 ","67 "
"77 ","大日本印刷股份有限公司","DAI NIPPON PRINTING CO., LTD. ","65 ","0 ","2 ","67 "
"79 ","ＳＭＣ股份有限公司 ","SMC CORPORATION ","27 ","0 ","39 ","66 "
"79 ","雷諾簡化股份有限公司 ","RENAULT S.A.S. ","0 ","0 ","66 ","66 "
"81 ","內數位專利控股公司 ","INTERDIGITAL PATENT HOLDINGS, INC. ","65 ","0 ","0 ","65 "
"81 ","西凱渥資訊處理科技公司","SKYWORKS SOLUTIONS, INC. ","65 ","0 ","0 ","65 "
"81 ","尼康股份有限公司 ","NIKON CORPORATION ","60 ","0 ","5 ","65 "
"84 ","阿爾卡特朗訊公司 ","ALCATEL LUCENT ","64 ","0 ","0 ","64 "
"85 ","羅伯特博斯奇股份有限公司","ROBERT BOSCH GMBH ","62 ","1 ","0 ","63 "
"85 ","安堤格里斯公司 ","ENTEGRIS, INC. ","56 ","1 ","6 ","63 "
"85 ","福特環球科技有限公司 ","FORD GLOBAL TECHNOLOGIES, LLC ","0 ","0 ","63 ","63 "
"88 ","住友電氣工業股份有限公司","SUMITOMO ELECTRIC INDUSTRIES, LTD.","56 ","2 ","4 ","62 "
"89 ","精工電子有限公司 ","SEIKO INSTRUMENTS INC. ","61 ","0 ","0 ","61 "
"90 ","日本電氣硝子股份有限公司","NIPPON ELECTRIC GLASS CO., LTD. ","60 ","0 ","0 ","60 "
"90 ","東京應化工業股份有限公司","TOKYO OHKA KOGYO CO., LTD. ","60 ","0 ","0 ","60 "
"92 ","村田製作所股份有限公司","MURATA MANUFACTURING CO., LTD. ","59 ","0 ","0 ","59 "
"93 ","格羅方德半導體公司 ","GLOBALFOUNDRIES US INC. ","58 ","0 ","0 ","58 "
"93 ","三菱綜合材料股份有限公司","MITSUBISHI MATERIALS CORPORATION","58 ","0 ","0 ","58 "
"95 ","日本煙草產業股份有限公司","JAPAN TOBACCO INC. ","57 ","0 ","0 ","57 "
"96 ","耐克創新有限合夥公司 ","NIKE INNOVATE C. V. ","51 ","5 ","0 ","56 "
"96 ","ＬＧ電子股份有限公司 ","LG ELECTRONICS INC. ","36 ","0 ","20 ","56 "
"96 ","耐吉創新有限公司 ","NIKE INNOVATE C. V. ","2 ","0 ","54 ","56 "
"99 ","光寶電子（廣州）有限公司","LITE-ON ELECTRONICS (GUANGZHOU) LIMITED","23 ","31 ","0 ","54 "
"100 ","大賽璐股份有限公司 ","DAICEL CORPORATION ","53 ","0 ","0 ","53 "
"100 ","ＪＸ日<U+945B>日石金屬股份有限公司","JX NIPPON MINING & METALS CORPORATION","53 ","0 ","0 ","53 "
"100 ","日產自動車股份有限公司","NISSAN MOTOR CO., LTD. ","0 ","0 ","53 ","53 "
